Steering Angle(degree),Tire Angle(rad)
-270,-0.4470313431798466
-260,-0.4319434808328625
-250,-0.42349114928820686
-240,-0.39024859602104245
-230,-0.37004318963185195
-220,-0.3616584426681025
-210,-0.34071472639954037
-200,-0.329371098984661
-190,-0.3077716283805625
-180,-0.295085033727461
-170,-0.2740528648270638
-160,-0.26611947796537805
-150,-0.2668412007145691
-140,-0.22543231216493292
-130,-0.21066715565422747
-120,-0.20370191189659775
-110,-0.18539009042944551
-100,-0.16784271009321436
-90,-0.156919259419918
-80,-0.1401904462145429
-70,-0.09438762857806732
-60,-0.10782149669732881
-50,-0.08515172929078184
-40,-0.07319081824237045
-30,-0.05644460968780299
-20,-0.037112380403403734
-10,-0.023664957308477046
0,-0.009952382189630847
10,0.007673938529823866
20,0.02813819984260626
30,0.04791931061570543
40,0.04753783033663168
50,0.0760787689886146
60,0.10038356251544761
70,0.11157004323444329
80,0.12436988517359618
90,0.14626347223500172
100,0.15552298490011146
110,0.17900897552555867
120,0.20033638453992003
130,0.20524924596587377
140,0.22265609203667722
150,0.24168057251853342
160,0.26346350941419355
170,0.2691041873038334
180,0.28447951434577945
190,0.30799869219594417
200,0.3250836433437953
210,0.3414925341401024
220,0.3539021394221106
230,0.39410203011444145
240,0.3983189671612148
250,0.40635684320073157
260,0.4271783181297783
270,0.4437645917712952
